Channel Title,Channel Username,ID,Message,Date,Media Path,Tokens
EthioBrand®,@ethio_brand_collection,5877,"Puma beige SD
Size 40414243
Price 3700 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-10 09:02:17+00:00,photos\@ethio_brand_collection_5877.jpg,"['Puma', 'beige', 'SD', 'Size', '40414243', 'Price', '3700', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5876,"Jordan tenacity 68 
Size 40414243
Price 3800 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-09 09:01:23+00:00,photos\@ethio_brand_collection_5876.jpg,"['Jordan', 'tenacity', '68', 'Size', '40414243', 'Price', '3800', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5875,"Reebok RC 85
Size 40414243
Price 3100 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-09 06:01:32+00:00,photos\@ethio_brand_collection_5875.jpg,"['Reebok', 'RC', '85', 'Size', '40414243', 'Price', '3100', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5874," ehude huleeme kefete nane 

Nike quest 4
Size 40414243
Price 3500 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-08 06:05:06+00:00,photos\@ethio_brand_collection_5874.jpg,"['ehude', 'huleeme', 'kefete', 'nane', 'Nike', 'quest', '4', 'Size', '40414243', 'Price', '3500', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5873,"Nike zoom 24x 
size 40414243
Price 3500 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-07 06:40:07+00:00,photos\@ethio_brand_collection_5873.jpg,"['Nike', 'zoom', '24x', 'size', '40414243', 'Price', '3500', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5872,"All star leather low
Size  404243
Price 3300birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-06 09:10:06+00:00,photos\@ethio_brand_collection_5872.jpg,"['All', 'star', 'leather', 'low', 'Size', '404243', 'Price', '3300birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5871,"Nike FC classic 
Size 40414243
Price 3300 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-05 09:00:06+00:00,photos\@ethio_brand_collection_5871.jpg,"['Nike', 'FC', 'classic', 'Size', '40414243', 'Price', '3300', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5870,"Nike zoom 24x 
size 40414243
Price 3500 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-05 06:19:33+00:00,photos\@ethio_brand_collection_5870.jpg,"['Nike', 'zoom', '24x', 'size', '40414243', 'Price', '3500', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5869,"New balance 530 
size 40414243
Price 3700 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-04 09:00:06+00:00,photos\@ethio_brand_collection_5869.jpg,"['New', 'balance', '530', 'size', '40414243', 'Price', '3700', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
EthioBrand®,@ethio_brand_collection,5868,"Skechers Quantum flex 
size 40414243
Price 3500 birr
aderaashaameekesiko komeerese jarebaa mazide pelaazaa yamajamariyaa darajaa enedawathu 101 yabiro quthere yaaganyunaale or call 0920238243
                                    EthioBrand ",2024-12-04 06:16:38+00:00,photos\@ethio_brand_collection_5868.jpg,"['Skechers', 'Quantum', 'flex', 'size', '40414243', 'Price', '3500', 'birr', 'aderaashaameekesiko', 'komeerese', 'jarebaa', 'mazide', 'pelaazaa', 'yamajamariyaa', 'darajaa', 'enedawathu', '101', 'yabiro', 'quthere', 'yaaganyunaale', 'or', 'call', '0920238243', 'EthioBrand']"
